WARNING: memory.v:27: $readmemh(memory.mem): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile saida.vcd opened for output.
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
X0 : 00000000, X1 : 00000005, X2 : 00000005, X3 : 00000000, X4 : 00000000, X5 : 0003001c, X20 : 00000800
